#,Comment,Pic ID,East Column,West Column,Infill,Cycle ID,MAX DISPL,MAX DRIFT,MAX FORCE,Group
1,,DSC_0691.JPG,x,,x,c20+,1.038656,1.293,77.672538,20
1,,IMG_0096.JPG,,,,c21+,1.521856,1.895,84.575538,21
2,,IMG_0098.JPG,,,,c21+,,1.895,,21
3,,IMG_0099.JPG,,,,c21+,,1.895,,21
4,,IMG_0100.JPG,,,,c21+,,1.895,,21
5,,IMG_0104.JPG,flipped,f,flipped,c21+,,1.895,,21
6,,IMG_0105.JPG,flipped,,flipped,c21+,,1.895,,21
7,,DSC_0694.JPG,flipped,,,c21+,,1.895,,21
8,,DSC_0695.JPG,flipped,,flipped,c21+,,1.895,,21
1,,IMG_0097.JPG,,x,x,c21-,-1.220344,-1.52,-68.065462,22
2,,IMG_0101.JPG,,x,x,c21-,,-1.52,,22
3,,IMG_0102.JPG,,x,x,c21-,,-1.52,,22
4,,IMG_0103.JPG,,flipped,flipped,c21-,,-1.52,,22
5,,IMG_1340.JPG,,flipped,,c21-,,-1.52,,22
6,,DSC_0696.JPG,,flipped,flipped,c21-,,-1.52,,22
7,,DSC_0697.JPG,,flipped,,c21-,,-1.52,,22
8,,DSC_0698.JPG,,x,,c21-,,-1.52,,22
9,,IMG_0106.JPG,,,,c21-,,-1.52,,22
1,,DSC_0699.JPG,flipped,,flipped,c22+,1.221356,1.521,83.312538,23
2,,IMG_1343.JPG,flipped,,,c22+,,1.521,,23
1,,IMG_0108.JPG,,flipped,flipped,c22-,-1.226344,-1.527,-62.938462,24
2,,IMG_1341.JPG,,flipped,,c22-,,-1.527,,24
1,,IMG_0113.JPG,x,,x,c23+,1.741056,2.168,95.196538,25
2,,IMG_1346.JPG,x,,x,c23+,,2.168,,25
3,,IMG_1347.JPG,x,,x,c23+,,2.168,,25
4,,IMG_1349.JPG,flipped,,flipped,c23+,,2.168,,25
5,,IMG_1350.JPG,flipped,,flipped,c23+,,2.168,,25
1,,IMG_0114.JPG,,x,x,c23-,-1.709944,-2.129,-68.871462,26
2,,IMG_1348.JPG,,flipped,flipped,c23-,,-2.129,,26
1,,DSC_0703.JPG,flipped,,,c24+,2.428584,3.024,101.351538,27
2,,DSC_0704.JPG,flipped,,flipped,c24+,,3.024,,27
3,,DSC_0705.JPG,flipped,,flipped,c24+,,3.024,,27
4,,DSC_0706.JPG,x,,x,c24+,,3.024,,27
5,,IMG_0116.JPG,flipped,,,c24+,,3.024,,27
6,,IMG_0117.JPG,x,,x,c24+,,3.024,,27
7,,IMG_1352.JPG,flipped,,flipped,c24+,,3.024,,27
8,,DSC_0721.JPG,x,,,c24+,,3.024,,27
9,,DSC_0722.JPG,x,,,c24+,,3.024,,27
10,,IMG_0121.JPG,x,,x,c24+,,3.024,,27
11,,IMG_0122.JPG,x,,x,c24+,,3.024,,27
12,,IMG_0125.JPG,flipped,,flipped,c24+,,3.024,,27
13,,IMG_0126.JPG,flipped,,,c24+,,3.024,,27
14,,IMG_0129.JPG,flipped,,,c24+,,3.024,,27
15,,IMG_0132.JPG,flipped,,,c24+,,3.024,,27
16,,IMG_0133.JPG,flipped,,,c24+,,3.024,,27
17,,IMG_0134.JPG,flipped,,,c24+,,3.024,,27
18,,IMG_1356.JPG,flipped,,flipped,c24+,,3.024,,27
19,,IMG_1357.JPG,flipped,,,c24+,,3.024,,27
1,,DSC_0702.JPG,,flipped,flipped,c24-,-2.365916,-2.946,-79.894462,28
2,,IMG_1353.JPG,,flipped,flipped,c24-,,-2.946,,28
3,,IMG_0123.JPG,,x,x,c24-,,-2.946,,28
4,,IMG_0124.JPG,,flipped,flipped,c24-,,-2.946,,28
5,,IMG_0127.JPG,,flipped,,c24-,,-2.946,,28
6,,IMG_0128.JPG,,flipped,,c24-,,-2.946,,28
7,,IMG_0131.JPG,flipped,flipped,flipped,c24-,,-2.946,,28
8,,IMG_1355.JPG,,flipped,flipped,c24-,,-2.946,,28
1,,IMG_0136.JPG,x,,x,c25+,2.430984,3.027,83.037538,29
2,,IMG_0137.JPG,x,,x,c25+,,3.027,,29
3,,IMG_0138.JPG,x,,,c25+,,3.027,,29
4,,IMG_0139.JPG,x,,x,c25+,,3.027,,29
5,,IMG_0141.JPG,x,,x,c25+,,3.027,,29
6,,IMG_0145.JPG,flipped,,,c25+,,3.027,,29
7,,IMG_0146.JPG,flipped,,flipped,c25+,,3.027,,29
1,,IMG_0142.JPG,,x,,c25-,-2.379716,-2.964,-75.921462,30
2,,IMG_1361.JPG,,x,x,c25-,,-2.964,,30
